#location_org,location_dest,commodity_name,demand,Org_Country,Des_country,weight,vol,Weight per package,Volume per package,Split amount,Dock,Search Result,Start pos,End Pos,Length,Text,Count _,Pos last _,Sustitute last _
Supplier_42,Plant_9,Article_7113,120,FR_N,FR_N,510,7.99236,510,7.99236,1,5,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7211,108,FR_N,FR_N,484.1999999964,7.9923599964,484.1999999964,7.9923599964,1,4,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7797,680,FR_N,FR_N,2842.4,45.29004,2842.4,45.29004,1,3,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7805,90,FR_N,FR_N,466.2,7.99236,466.2,7.99236,1,2,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7769,60,FR_N,FR_N,310.8,5.32824,310.8,5.32824,1,1,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7770,480,FR_N,FR_N,2486.4,42.62592,2486.4,42.62592,1,3,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7771,32,FR_N,FR_N,157.76,2.66412,157.76,2.66412,1,4,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7766,30,FR_N,FR_N,155.4,2.66412,155.4,2.66412,1,2,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7779,364,FR_N,FR_N,1989.5199999948,34.6335600156,1989.5199999948,34.6335600156,1,5,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_7781,384,FR_N,FR_N,1413.12,21.31296,1413.12,21.31296,1,4,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_16,Article_1702,780,FR_N,FR_N,4188.6,67.86,2094.3,33.93,2,4,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
Supplier_42,Plant_16,Article_1694,4056,FR_N,FR_N,13237.5360000312,203.5800000312,3309.3840000078,50.8950000078,4,5,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
Supplier_42,Plant_16,Article_1688,4110,FR_N,FR_N,22029.6,357.57,2753.7,44.69625,8,3,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
Supplier_42,Plant_16,Article_1136,4992,FR_N,FR_N,15847.9360001664,349.44,2263.99085716663,49.92,7,5,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
Supplier_42,Plant_16,Article_1144,780,FR_N,FR_N,6308.64,101.79,3154.32,50.895,2,1,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
Supplier_42,Plant_16,Article_1151,4040,FR_N,FR_N,32724,527.22,2974.90909090909,47.9290909090909,11,4,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
Supplier_42,Plant_16,Article_761,30,FR_N,FR_N,159.84,2.61,159.84,2.61,1,3,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N_500,33,37,45,FR_N_500,6,42,FTL||Supplier_42||Plant_16||FTL_FR_N-FR_N!500
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,193,,,,,,,,,
